Reporter Valeria,Valeria,3,4
3
Team 1
Kabuto,Mega Drain,Ancient Power,Sand Attack,Protect,Sitrus Berry,Hardy,Battle Armor,31,0,0,31,0,0,108,0,0,108,0,0
Castform,Ember,Water Pulse,Shock Wave,Weather Ball,Persim Berry,Hasty,Forecast,31,0,0,31,0,31,108,0,0,108,0,108
Raticate,Endeavor,Super Fang,Scary Face,Quick Attack,Silk Scarf,Naive,Guts,31,31,0,0,0,31,108,108,0,0,0,108
Team 2
Chimecho,Psychic,Take Down,Heal Bell,Safeguard,Twisted Spoon,Sassy,Levitate,31,0,31,31,0,0,108,0,108,108,0,0
Persian,Fake Out,Slash,Torment,Swagger,Silk Scarf,Quirky,Technician,0,31,31,0,0,31,0,108,108,0,0,108
Kecleon,Brick Break,Psybeam,Magic Coat,Shadow Sneak,Focus Band,Naive,Color Change,31,0,31,0,0,31,108,0,108,0,0,108
4
Team 3
Xatu,Air Slash,Night Shade,Wish,Future Sight,Sharp Beak,Hardy,Magic Bounce,31,10,10,31,10,31,148,0,0,148,0,148
Magmar,Flamethrower,Smokescreen,Brick Break,Psychic,Rawst Berry,Relaxed,Flame Body,31,31,10,31,10,10,148,148,0,148,0,0
Golbat,Poison Fang,Confuse Ray,Wing Attack,Steel Wing,Scope Lens,Jolly,Inner Focus,31,31,0,0,0,31,148,148,0,0,0,148
Team 4
Kabutops,Slash,Dig,Night Slash,Metal Sound,Scope Lens,Adamant,Swift Swim,31,31,10,10,10,31,148,148,0,0,0,148
Chimecho,Psychic,Take Down,Heal Bell,Safeguard,Twisted Spoon,Sassy,Levitate,31,0,31,31,0,0,108,0,108,108,0,0
Sealeo,Blizzard,Hail,Snore,Rest,Icy Rock,Relaxed,Ice Body,31,0,31,0,31,0,108,0,108,0,108,0
Team 5
Chansey,Substitute,Seismic Toss,Soft-boiled,Minimize,Sitrus Berry,Relaxed,Serene Grace,31,31,31,31,31,31,148,0,148,0,148,0
Grumpig,Psybeam,Confuse Ray,Future Sight,Magic Coat,Petaya Berry,Relaxed,Thick Fat,31,10,31,10,31,10,148,0,148,0,148,0
Seviper,Poison Tail,Bite,Glare,Screech,Scope Lens,Hardy,Shed Skin,31,31,10,10,10,31,148,148,0,0,0,148
Team 6
Stantler,Extrasensory,Confuse Ray,Stomp,Sand Attack,Twisted Spoon,Gentle,Intimidate,31,10,10,31,10,31,148,0,0,148,0,148
Wigglytuff,Sing,Disable,Wish,Dazzling Gleam,Silk Scarf,Relaxed,Competitive,31,0,31,0,31,0,108,0,108,0,108,0
Ivysaur,Petal Dance,Growth,Sweet Scent,Take Down,Persim Berry,Gentle,Overgrow,31,0,31,0,31,0,108,0,108,0,108,0
