School Kid♂ Vance,Vance,5,6
5
Team 1
Skarmory,Stealth Rock,Roar,Drill Peck,Roost,Leftovers,Careful,Sturdy,31,15,31,15,31,15,148,4,148,4,148,4
Vileplume,Poison Powder,Sleep Powder,Stun Spore,Giga Drain,Big Root,Lax,Chlorophyll,31,15,15,31,31,15,148,4,4,148,148,4
Victreebel,Leaf Blade,Poison Jab,Leech Life,Strength Sap,Sitrus Berry,Adamant,Gluttony,31,31,15,15,15,31,148,148,4,4,4,148
Team 2
Carnivine,Power Whip,Crunch,Sweet Scent,Leech Seed,Rose Incense,Sassy,Levitate,31,0,31,0,31,0,148,0,148,0,148,0
Blaziken,Aerial Ace,Flare Blitz,Will-o-wisp,Bulk Up,Shell Bell,Adamant,Blaze,31,31,31,31,31,31,148,148,4,4,4,148
Shiftry,Double Team,Leech Seed,Swagger,Synthesis,Leftovers,Bold,Early Bird,31,15,31,31,15,15,148,4,148,148,4,4
6
Team 3
Ninetales,Solar Beam,Disable,Will-o-wisp,Flamethrower,Rawst Berry,Timid,Drought,31,31,31,31,31,31,60,0,0,204,0,204
Weezing,Will-o-wisp,Double Team,Sludge Bomb,Substitute,Leftovers,Calm,Levitate,31,31,31,31,31,31,148,4,4,148,148,4
Granbull,Thunder Wave,Bite,Rock Slide,Giga Impact,Razor Claw,Brave,Intimidate,31,31,31,15,15,15,148,148,148,4,4,4
